"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
44383;1990;3;13;82;63,1145833333333;-21,0693333333333;420;"M";2;NA;53;NA;NA;NA;NA;8
44374;1990;3;14;91;63,3759166666667;-21,4831666666667;153,5;"F";1;NA;37;NA;NA;NA;NA;8
44367;1990;3;15;98;63,42925;-20,6971666666667;93,5;"M";1;NA;22;NA;NA;NA;NA;8
44355;1990;3;16;110;63,2685;-17,2825833333333;198,5;"M";1;NA;23;NA;NA;NA;NA;8
41008;1989;3;4;18;64,0675;-14,7730833333333;115;"F";1;NA;54;NA;NA;NA;NA;8
86483;1997;3;5;1;65,0841666666667;-13,0488333333333;166,5;"F";2;NA;47;NA;NA;NA;NA;8
86485;1997;3;5;3;64,9393333333333;-12,4538333333333;162;"F";1;NA;49;NA;NA;NA;NA;8
86483;1997;3;5;1;65,0841666666667;-13,0488333333333;166,5;"M";1;NA;35;NA;NA;NA;NA;8
86483;1997;3;5;1;65,0841666666667;-13,0488333333333;166,5;"M";1;NA;25;NA;NA;NA;NA;8
62539;1994;3;10;71;66,4344166666667;-23,7916666666667;146,5;"F";1;NA;48;NA;NA;NA;NA;8
62603;1994;3;6;25;65,2033333333333;-27,0216666666667;239,5;"M";1;NA;57;NA;NA;NA;NA;8
62607;1994;3;7;29;65,5608333333333;-26,2213333333333;160,5;"F";1;NA;56;NA;NA;NA;NA;8
62608;1994;3;7;30;65,6653333333333;-26,2350833333333;177;"M";2;NA;61;NA;NA;NA;NA;8
62835;1994;3;11;83;64,3774166666667;-25,03;213,5;"F";1;NA;49;NA;NA;NA;NA;8
62837;1994;3;11;85;64,22125;-25,2911666666667;261;"F";1;NA;43;NA;NA;NA;NA;8
62839;1994;3;11;87;64,1454166666667;-24,81925;195,5;"F";1;NA;31;NA;NA;NA;NA;8
62840;1994;3;11;88;64,122;-24,7518333333333;212;"F";1;NA;41;NA;NA;NA;NA;8
63011;1994;3;4;10;65,0741666666667;-12,2755;199,5;"M";1;NA;39;NA;NA;NA;NA;8
63014;1994;3;5;13;65,1280833333333;-12,84225;185,5;"F";1;NA;49;NA;NA;NA;NA;8
63048;1994;3;8;47;64,0833333333333;-13,225;198;"M";1;NA;51;NA;NA;NA;NA;8
63051;1994;3;8;50;64,1991666666667;-12,8725;202,5;"F";1;NA;56;NA;NA;NA;NA;8
63054;1994;3;9;53;64,3166666666667;-13,475;193;"F";1;NA;50;NA;NA;NA;NA;8
63055;1994;3;9;54;64,325;-13,625;154;"M";1;NA;41;NA;NA;NA;NA;8
63058;1994;3;9;57;64,4;-13,575;146,5;"M";1;NA;33;NA;NA;NA;NA;8
63023;1994;3;6;22;64,0656666666667;-14,7929166666667;116,5;"F";1;NA;54;NA;NA;NA;NA;8
63024;1994;3;6;23;63,8858333333333;-14,8563333333333;165,5;"M";1;NA;37;NA;NA;NA;NA;8
63025;1994;3;6;24;64,00625;-15,17425;138,5;"M";1;NA;45;NA;NA;NA;NA;8
63030;1994;3;6;29;63,5393333333333;-16,9114166666667;210;"M";1;NA;43;NA;NA;NA;NA;8
63042;1994;3;8;41;64,0120833333333;-13,5275;176;"M";1;NA;50;NA;NA;NA;NA;8
63047;1994;3;8;46;64,115;-13,1333333333333;298,5;"M";1;NA;51;NA;NA;NA;NA;8
62929;1994;3;8;59;66,9155833333333;-14,7185;183,5;"F";1;NA;50;NA;NA;NA;NA;8
62931;1994;3;9;61;67,0706666666667;-14,5189166666667;244,5;"F";1;NA;55;NA;NA;NA;NA;8
62932;1994;3;9;62;66,8670833333333;-14,2396666666667;223;"M";1;NA;36;NA;NA;NA;NA;8
62936;1994;3;9;66;66,7523333333333;-13,166;228,5;"M";1;NA;42;NA;NA;NA;NA;8
62940;1994;3;10;70;65,8433333333333;-14,2199166666667;161,5;"M";1;NA;46;NA;NA;NA;NA;8
62948;1994;3;10;78;66,5489166666667;-14,7583333333333;152,5;"F";1;NA;55;NA;NA;NA;NA;8
62614;1994;3;7;36;65,951;-26,5046666666667;283,5;"M";1;NA;48;NA;NA;NA;NA;8
62616;1994;3;7;38;65,81925;-26,0784166666667;231;"M";1;NA;23;NA;NA;NA;NA;8
62620;1994;3;8;42;65,6075;-25,8515;125,5;"F";1;NA;51;NA;NA;NA;NA;8
62627;1994;3;8;49;65,7218333333333;-25,3895;168;"M";1;NA;56;NA;NA;NA;NA;8
62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;49;NA;NA;NA;NA;8
62842;1994;3;12;90;64,0991666666667;-23,5306666666667;115,5;"F";1;NA;37;NA;NA;NA;NA;8
62548;1994;3;11;80;66,376;-24,7533333333333;112;"F";1;NA;45;NA;NA;NA;NA;8
62549;1994;3;11;81;66,4551666666667;-24,7445;109,5;"F";1;NA;50;NA;NA;NA;NA;8
62550;1994;3;11;82;66,5021666666667;-24,8975;155;"M";1;NA;62;NA;NA;NA;NA;8
62555;1994;3;12;87;66,2855833333333;-25,12775;142,5;"M";1;NA;56;NA;NA;NA;NA;8
62819;1994;3;10;67;64,5061666666667;-24,44825;185;"M";1;NA;44;NA;NA;NA;NA;8
62820;1994;3;10;68;64,5651666666667;-24,6171666666667;245,5;"F";1;NA;51;NA;NA;NA;NA;8
62822;1994;3;10;70;64,5965;-23,6674166666667;124;"M";1;NA;79;NA;NA;NA;NA;8
62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"M";1;NA;50;NA;NA;NA;NA;8
62789;1994;3;7;37;63,9891666666667;-23,6126666666667;136,5;"M";1;NA;52;NA;NA;NA;NA;8
62693;1994;3;9;57;67,13875;-20,85025;230,5;"M";1;NA;57;NA;NA;NA;NA;8
62697;1994;3;9;61;66,437;-21,2865;184,5;"M";1;NA;46;NA;NA;NA;NA;8
62701;1994;3;10;65;66,665;-21,363;119,5;"M";1;NA;43;NA;NA;NA;NA;8
62792;1994;3;7;40;63,7833333333333;-24,1995;161,5;"F";1;NA;35;NA;NA;NA;NA;8
62792;1994;3;7;40;63,7833333333333;-24,1995;161,5;"F";1;NA;34;NA;NA;NA;NA;8
62561;1994;3;12;93;65,982;-25,83;186;"F";1;NA;48;NA;NA;NA;NA;8
62563;1994;3;12;95;65,9788333333333;-26,03075;209,5;"M";1;NA;53;NA;NA;NA;NA;8
62565;1994;3;12;97;65,9895833333333;-26,1845833333333;243;"M";1;NA;49;NA;NA;NA;NA;8
62683;1994;3;8;47;66,2975833333333;-21,0429166666667;146;"F";1;NA;43;NA;NA;NA;NA;8
62796;1994;3;7;44;63,9450833333333;-25,2478333333333;242,5;"F";1;NA;51;NA;NA;NA;NA;8
62566;1994;3;13;98;66,0318333333333;-26,237;251,5;"F";1;NA;42;NA;NA;NA;NA;8
62568;1994;3;13;101;66,189;-25,9009166666667;260;"F";1;NA;60;NA;NA;NA;NA;8
62569;1994;3;13;102;66,2850833333333;-25,8295833333333;378;"F";1;NA;51;NA;NA;NA;NA;8
